Job Title,Link,Role,Industry,Department,Education (UG),Education (PG),Key Skills,Description
Area Sales Manager,https://www.naukri.com/job-listings-area-sales-manager-mahindra-mahindra-limited-ranchi-3-to-8-years-200326501920,Area Sales Manager (B2B),Automobile,Sales & Business Development,"Diploma in Any Specialization, Any Graduate","MBA/PGDM in Any Specialization, PG Diploma in Electronics","Relationship management, Order management, Sales planning, Sales operations, Market intelligence, Sales process, Dms, Automotive, Monitoring, Retail sales",Description block not found or inaccessible
Service Engineer,https://www.naukri.com/job-listings-service-engineer-ideal-solutions-mumbai-bhubaneswar-hyderabad-ranchi-0-to-0-years-130326033905,Service Engineer,Automobile (Electric Vehicle (EV)),"Customer Success, Service & Operations","Diploma in Mechanical Engineering, Electronics And Instrumentation, ITI, B.Tech/B.E. - Bachelor of Technology / Engineering in Electrical and Electronics Engineering (EEE), Automobile Engineering, Production and Industrial Engineering, Mechanical Engineering, Mechatronics",Not Found,"Car Service, Service Engineering, Automobile Service, Car Showroom, Mechanical Engineering, Automobile Engineering, EEE, Dealer Training, After Sales Service, Mechanical Maintenance, Servicing, Four Wheeler, After Sales Support, Repair And Maintenance, Warranty Handling, Repair",Description block not found or inaccessible
Sales Manager - Auto Loans,https://www.naukri.com/job-listings-sales-manager-auto-loans-hdb-financial-services-limited-deoghar-0-to-13-years-190326503123,Territory Sales Manager (B2C),Financial Services,Sales & Business Development,Any Graduate,Any Postgraduate,"Market study, Sales planning, Analytical, Institutional sales, Cost management, Business planning, Sales Promotion Executive, Auto loans, Network management, Planning Executive",Description block not found or inaccessible
Area Sales Manager,https://www.naukri.com/job-listings-area-sales-manager-mahindra-mahindra-limited-ranchi-3-to-8-years-190326504820,Area Sales Manager (B2B),Automobile,Sales & Business Development,Any Graduate,Any Postgraduate,"Relationship management, Manpower management, Sales planning, Dms, Credit management, Forecasting, Retail sales, Testing, automotive sales",Description block not found or inaccessible
Project Manager/Sr. Engineer- Mechanical/Electrical,https://www.naukri.com/job-listings-project-manager-sr-engineer-mechanical-electrical-hsmb-india-services-llp-chandrapur-kolkata-bokaro-10-to-20-years-220326005326,Production & Manufacturing - Other,Engineering & Construction,"Production, Manufacturing & Engineering",B.Tech/B.E. - Bachelor of Technology / Engineering in Mechanical Engineering,Not Found,Project Execution,Description block not found or inaccessible
Senior Sales Manager - TW,https://www.naukri.com/job-listings-senior-sales-manager-tw-hdb-financial-services-limited-medininagar-0-to-5-years-060326505059,Regional Sales Manager (B2C),Financial Services,Sales & Business Development,Any Graduate,Any Postgraduate,"Loans, Unit operations, Team management, Sales, Focus, Telecalling, Customer support, Management, Monitoring",Description block not found or inaccessible
Sales Manager - Auto Loans,https://www.naukri.com/job-listings-sales-manager-auto-loans-hdb-financial-services-limited-dhanbad-0-to-13-years-180326502431,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Description block not found or inaccessible
Sales Manager - CV,https://www.naukri.com/job-listings-sales-manager-cv-hdb-financial-services-limited-garhwa-0-to-5-years-060326504906,Regional Sales Manager (B2C),Financial Services,Sales & Business Development,Any Graduate,Any Postgraduate,"Operations management, Manager Client Servicing, Business development operations, Team management, Sales planning, Analytical, Institutional sales, Sales Promotion Executive, Network management, Planning Executive",Description block not found or inaccessible
Showroom Manager/ Sales Manager- Automobile,https://www.naukri.com/job-listings-showroom-manager-sales-manager-automobile-premsons-motor-udyog-palamu-gumla-deoghar-ranchi-5-to-10-years-281125033686,Sales Support & Operations - Other,Automobile (Automobile Dealers),Sales & Business Development,Any Graduate,Not Found,"Dealership Management, Automobile showroom Manager, Automobile Sales, 4 Wheeler, Team Handling, Customer Experience Management, Dealer Operations, Sales Strategy, Sales Promotions, Relationship Management, Strategic Sales Planning, Sales Manager, Customer Acquisition",Description block not found or inaccessible
Sales Manager - CV,https://www.naukri.com/job-listings-sales-manager-cv-hdb-financial-services-limited-lohardaga-0-to-5-years-060326504927,Regional Sales Manager (B2C),Financial Services,Sales & Business Development,Any Graduate,Any Postgraduate,"Operations management, Manager Client Servicing, Business development operations, Team management, Sales planning, Analytical, Institutional sales, Sales Promotion Executive, Network management, Planning Executive",Description block not found or inaccessible
Senior Sales Manager - TW,https://www.naukri.com/job-listings-senior-sales-manager-tw-hdb-financial-services-limited-bokaro-dhanbad-jamshedpur-ranchi-0-to-12-years-100326505479,Regional Sales Manager (B2C),Financial Services,Sales & Business Development,Any Graduate,Any Postgraduate,"Loans, Unit operations, Team management, Sales, Focus, Telecalling, Customer support, Management, Monitoring",Description block not found or inaccessible
Senior Sales Manager - SF,https://www.naukri.com/job-listings-senior-sales-manager-sf-hdb-financial-services-limited-jamshedpur-0-to-5-years-060326505024,Regional Sales Manager (B2C),Financial Services,Sales & Business Development,Any Graduate,Any Postgraduate,"Operations management, Manager Client Servicing, Market study, Business development operations, Team management, Networking, Focus, Cost management, Sales management, Sales promotion",Description block not found or inaccessible
Assistant Manager / Senior Engineer - Installation,https://www.naukri.com/job-listings-assistant-manager-senior-engineer-installation-kone-elevator-india-pvt-ltd-ranchi-4-to-8-years-230326016380,Not Found,Not Found,Not Found,,Not Found,"execution, project management, ms project, program management, equipment, project, control, monitoring, scope management, commissioning, budgeting, schedule, planning, site, site supervision, site management, installation, civil, scheduling, construction, maintenance, project planning",Description block not found or inaccessible
Sales Manager - CV,https://www.naukri.com/job-listings-sales-manager-cv-hdb-financial-services-limited-jamshedpur-0-to-5-years-060326504922,Regional Sales Manager (B2C),Financial Services,Sales & Business Development,Any Graduate,Any Postgraduate,"Operations management, Manager Client Servicing, Business development operations, Team management, Sales planning, Analytical, Institutional sales, Sales Promotion Executive, Network management, Planning Executive",Description block not found or inaccessible
Sales Manager - CV,https://www.naukri.com/job-listings-sales-manager-cv-hdb-financial-services-limited-bokaro-dhanbad-jamshedpur-ranchi-0-to-12-years-100326505478,Regional Sales Manager (B2C),Financial Services,Sales & Business Development,Any Graduate,Any Postgraduate,"Operations management, Manager Client Servicing, Business development operations, Team management, Sales planning, Analytical, Institutional sales, Sales Promotion Executive, Network management, Planning Executive",Description block not found or inaccessible
TSM - MNC - Automobile - Ranchi & Guwahati,https://www.naukri.com/job-listings-tsm-mnc-automobile-ranchi-guwahati-industrial-personnel-network-guwahati-ranchi-5-to-10-years-020326031727,BD / Pre Sales - Other,Automobile,Sales & Business Development,Not Found,MBA/PGDM in Any Specialization,"Strategic Thinking, Communication Skills, SOP, Analysis, Problem Solving",Description block not found or inaccessible
Senior Sales Manager - SF,https://www.naukri.com/job-listings-senior-sales-manager-sf-hdb-financial-services-limited-ranchi-0-to-5-years-060326504994,Regional Sales Manager (B2C),Financial Services,Sales & Business Development,Any Graduate,Any Postgraduate,"Operations management, Manager Client Servicing, Market study, Business development operations, Team management, Networking, Focus, Cost management, Sales management, Sales promotion",Description block not found or inaccessible
Channel Sales Manager - Tipper/HD with Commercial Vehicle Company,https://www.naukri.com/job-listings-channel-sales-manager-tipper-hd-with-commercial-vehicle-company-benchmark-services-bhubaneswar-dhanbad-chennai-3-to-7-years-020326030765,Channel Management,Automobile,Sales & Business Development,B.Tech/B.E. - Bachelor of Technology / Engineering in Any Specialization,Not Found,"Channel Sales Management, Sales, Field Sales, Business Development, Trucks, Bus, Dealer Management, Heavy Commercial Vehicles, Tyre Sales, Channel Sales, Tractor, Trailer, Tipper, Dealer Sales, Automobile Sales, Retail Channel Sales, MAVTT, HCV, Commercial Vehicle, LCV, Heavy Vehicle",Description block not found or inaccessible
Software Developer (Contract To Hire- Onsite),https://www.naukri.com/job-listings-software-developer-contract-to-hire-onsite-blg-technologies-ranchi-0-to-2-years-170326014471,Full Stack Developer,IT Services & Consulting,Engineering - Software & QA,"B.Sc - Bachelor of Science in Any Specialization, B.Tech/B.E. - Bachelor of Technology / Engineering in Any Specialization",Not Found,"Python, Javafx, Data Handling, Java, C++, OOPS, Tkinter, .Net, Pyqt, Html/Css",Description block not found or inaccessible
Junior Software Developer,https://www.naukri.com/job-listings-junior-software-developer-aadrika-enterprises-ranchi-0-to-3-years-020424501291,Software Development - Other,IT Services & Consulting,Engineering - Software & QA,Any Graduate,Any Postgraduate,"Manager Quality Assurance, Front end, Version control, Coding, Postgresql, MySQL, Web development, Healthcare, HTML",Description block not found or inaccessible
Software Engineer,https://www.naukri.com/job-listings-software-engineer-suparnix-technologies-bermo-1-to-3-years-031125503219,Software Development - Other,IT Services & Consulting,Engineering - Software & QA,Any Graduate,Any Postgraduate,"software development, networking, dbms, engineering, recovery, software programming, sql, technical support, transport management, microsoft windows, installation, system performance, troubleshooting, software engineering, user management, sap hana, programming",Description block not found or inaccessible
Software Programmer,https://www.naukri.com/job-listings-software-programmer-napasoft-jamshedpur-0-to-5-years-061224501638,Software Development - Other,IT Services & Consulting,Engineering - Software & QA,Any Graduate,M.Tech in Electronics/Telecommunication,"C#, CSS, C, html5, PLSQL, ASP",Description block not found or inaccessible
Software Developer,https://www.naukri.com/job-listings-software-developer-vas-tribology-solutions-jamshedpur-2-to-5-years-240326020033,Full Stack Developer,Software Product,Engineering - Software & QA,"B.Tech/B.E. - Bachelor of Technology / Engineering in Computer Science and Engineering (CSE), Information Technology, BCA - Bachelor of Computer Applications in Any Specialization",MCA in Any Specialization,"Fast Api, GCP, Nextjs, Python, Cloud Deployment, API Integration, System Design, PostgreSQL, Ci/Cd, Microservices, Backend Development, REST API, GIT, Docker, Fullstack Development, Frontend Development, JavaScript, React.Js, Kubernetes",Description block not found or inaccessible
SOFTWARE DEVELOPER,https://www.naukri.com/job-listings-software-developer-ashkam-energy-pvt-ltd-ranchi-2-to-3-years-281024502378,Software Development - Other,Engineering & Construction,Engineering - Software & QA,Any Graduate,Any Postgraduate,"CSS, HTML, MS Office, Python",Description block not found or inaccessible
Software Tester,https://www.naukri.com/job-listings-software-tester-brightcode-software-services-pvt-ltd-ranchi-1-to-3-years-010822500854,Manual Test Engineer,IT Services & Consulting,Engineering - Software & QA,"BCA - Bachelor of Computer Applications in Computer Applications (General), B.Tech/B.E. - Bachelor of Technology / Engineering in Production and Industrial Engineering",MCA in Computers,"System testing, Database testing, Automation testing, Manual testing, Asset management, Portfolio management, Defect management, Scripting",Description block not found or inaccessible
Software Engineer,https://www.naukri.com/job-listings-software-engineer-special-software-india-jamshedpur-3-to-7-years-170125502892,Software Development - Other,IT Services & Consulting,Engineering - Software & QA,Any Graduate,Any Postgraduate,"c#, c++, css, python, software development, c, engineering, hibernate, javascript, sql server, jquery, sql, spring, spring boot, java, asp.net, j2ee, .net, software engineering, html, data structures, mysql",Description block not found or inaccessible
Chatbot Software Engineer,https://www.naukri.com/job-listings-chatbot-software-engineer-tata-industries-limited-tata-insights-and-quants-divison-mumbai-jamshedpur-bengaluru-2-to-4-years-261219501454,Technical Lead,Analytics / KPO / Research,Engineering - Software & QA,Any Graduate,Post Graduation Not Required,"Computer science, Tomcat, MySQL, Machine learning, Test planning, HTML, HTTP, Information management, Information technology, Python",Description block not found or inaccessible
Software Developer,https://www.naukri.com/job-listings-software-developer-ten-software-dhanbad-8-to-13-years-120325503380,Software Development - Other,IT Services & Consulting,Engineering - Software & QA,Any Graduate,Any Postgraduate,Software Developer,Description block not found or inaccessible
Software Engineer - Java developer,https://www.naukri.com/job-listings-software-engineer-java-developer-apptad-inc-bokaro-dhanbad-jamshedpur-ranchi-2-to-5-years-180326504402,Not Found,Not Found,Not Found,,,"python, software development, java development, problem solving, engineering, cloud platform, javascript, docker, coding, java, gcp, design patterns, integration, jenkins, troubleshooting, software engineering, code review, aws, programming, communication skills",Description block not found or inaccessible
Software Developer,https://www.naukri.com/job-listings-software-developer-swati-industries-ranchi-2-to-3-years-070624500614,Software Development - Other,Automobile,Engineering - Software & QA,Any Graduate,Any Postgraduate,"Computer science, System testing, Project management, Consulting, PHP, HTML, Unit testing, Technical support, Monitoring, Python",Description block not found or inaccessible
Software Engineer,https://www.naukri.com/job-listings-software-engineer-special-software-india-jamshedpur-3-to-7-years-170125503052,Software Development - Other,IT Services & Consulting,Engineering - Software & QA,Any Graduate,Any Postgraduate,"c#, c++, css, python, software development, c, training, engineering, hibernate, professional development, javascript, sql server, jquery, sql, spring, curriculum development, java, j2ee, .net, software engineering, html, data structures, mysql",Description block not found or inaccessible
Software Engineer,https://www.naukri.com/job-listings-software-engineer-it-scient-jamshedpur-2-to-4-years-200326003708,IT Security - Other,Iron & Steel,IT & Information Security,B.Tech/B.E. - Bachelor of Technology / Engineering in Any Specialization,MCA in Any Specialization,"SAP BODS, Cloud, Google Dataflow., Informatica",Description block not found or inaccessible
Senior Software Developer,https://www.naukri.com/job-listings-senior-software-developer-sahajseva-digital-consultancy-ranchi-3-to-7-years-231225503779,Marketing Manager,IT Services & Consulting,Marketing & Communication,Any Graduate,Any Postgraduate,"Marketing consulting, Team leading, Customer satisfaction, Advocate, Data Analyst, Digital marketing, digital transformation, Software solutions",Description block not found or inaccessible
Senior Software Developer,https://www.naukri.com/job-listings-senior-software-developer-dataspeaks-services-private-limited-jamshedpur-12-to-20-years-221025504753,Software Development - Other,BPM / BPO,Engineering - Software & QA,Any Graduate,Any Postgraduate,"Backend, Web technologies, HR operations, Enterprise applications, Shaping, Quality engineering, HR, Continuous improvement, System Architect",Description block not found or inaccessible
Software Engineering - Tagitec Professional,https://www.naukri.com/job-listings-software-engineering-tagitec-professional-apptad-inc-bokaro-3-to-8-years-221225500560,Not Found,Not Found,Not Found,,,"Analyst, ERP, Automation, Data modeling, Agile, Application development, Project planning, SQL, Auditing",Description block not found or inaccessible
Senior Software Developer - Web Development,https://www.naukri.com/job-listings-senior-software-developer-web-development-leo-edunomics-ranchi-3-to-8-years-190326503376,Full Stack Developer,Education / Training,Engineering - Software & QA,"Any Graduate, BCA - Bachelor of Computer Applications in Computer Applications (General)","Any Postgraduate, MCA in Computers","Computer science, Testing tools, MySQL, Web development, Agile, PHP, Application development, SDLC, SQL, Agile testing",Description block not found or inaccessible
Senior Software Engineer,https://www.naukri.com/job-listings-senior-software-engineer-apptad-inc-bokaro-dhanbad-jamshedpur-ranchi-7-to-12-years-180326504341,Not Found,Not Found,Not Found,,,"Manual testing, Db2, JBoss, JSP, Weblogic, Javascript, Struts, J2Ee, HTML, Application development",Description block not found or inaccessible
Senior Software Developer,https://www.naukri.com/job-listings-senior-software-developer-apptad-inc-bokaro-dhanbad-jamshedpur-ranchi-8-to-12-years-160226505742,Not Found,Not Found,Not Found,,,"Prototype, Db2, JBoss, Weblogic, JSP, Javascript, Struts, J2Ee, Customer relationship, HTML",Description block not found or inaccessible
Area Sales Manager ( B2B ),https://www.naukri.com/job-listings-area-sales-manager-b2b-triveni-almirah-rohtak-jaipur-bikaner-jodhpur-kota-udaipur-bhopal-bharatpur-chhindwara-gwalior-indore-jagdalpur-jabalpur-deoghar-sagar-nagaur-dhanbad-jamshedpur-sonipat-ranchi-bilaspur-raipur-3-to-8-years-230326503113,Zonal Sales Manager (B2C),Facility Management Services,Sales & Business Development,Any Graduate,,"Sales HR, management, Area sales, HR, B2B Sales, Enterprise sales, coordination, manage, Security Guidelines, Terms and Conditions",
Area Sales Manager ( B2B ),https://www.naukri.com/job-listings-area-sales-manager-b2b-triveni-almirah-rohtak-jaipur-bikaner-jodhpur-kota-udaipur-bhopal-bharatpur-chhindwara-gwalior-indore-jagdalpur-jabalpur-deoghar-sagar-nagaur-dhanbad-jamshedpur-sonipat-ranchi-bilaspur-raipur-3-to-8-years-230326503110,Zonal Sales Manager (B2C),Facility Management Services,Sales & Business Development,Any Graduate,,"Sales HR, management, Area sales, HR, B2B Sales, Enterprise sales, coordination, manage, Security Guidelines, Terms and Conditions",
Area Sales Manager ( B2B ),https://www.naukri.com/job-listings-area-sales-manager-b2b-triveni-almirah-rohtak-jaipur-bikaner-jodhpur-kota-udaipur-bhopal-bharatpur-chhindwara-gwalior-indore-jagdalpur-jabalpur-deoghar-sagar-nagaur-dhanbad-jamshedpur-sonipat-ranchi-bilaspur-raipur-3-to-8-years-230326503109,Zonal Sales Manager (B2C),Facility Management Services,Sales & Business Development,Any Graduate,,"Sales HR, management, Area sales, HR, B2B Sales, Enterprise sales, coordination, manage, Security Guidelines, Terms and Conditions",
Area Sales Manager ( B2B ),https://www.naukri.com/job-listings-area-sales-manager-b2b-triveni-almirah-rohtak-jaipur-bikaner-jodhpur-kota-udaipur-bhopal-bharatpur-chhindwara-gwalior-indore-jagdalpur-jabalpur-deoghar-sagar-nagaur-dhanbad-jamshedpur-sonipat-ranchi-bilaspur-raipur-3-to-8-years-230326503107,Zonal Sales Manager (B2C),Facility Management Services,Sales & Business Development,Any Graduate,,"Sales HR, management, Area sales, HR, B2B Sales, Enterprise sales, coordination, manage, Security Guidelines, Terms and Conditions",
Area Sales Manager ( B2B ),https://www.naukri.com/job-listings-area-sales-manager-b2b-triveni-almirah-rohtak-jaipur-bikaner-jodhpur-kota-udaipur-bhopal-bharatpur-chhindwara-gwalior-indore-jagdalpur-jabalpur-deoghar-sagar-nagaur-dhanbad-jamshedpur-sonipat-ranchi-bilaspur-raipur-3-to-8-years-230326503106,Zonal Sales Manager (B2C),Facility Management Services,Sales & Business Development,Any Graduate,,"Sales HR, management, Area sales, HR, B2B Sales, Enterprise sales, coordination, manage, Security Guidelines, Terms and Conditions",
Area Sales Manager ( B2B ),https://www.naukri.com/job-listings-area-sales-manager-b2b-triveni-almirah-rohtak-jaipur-bikaner-jodhpur-kota-udaipur-bhopal-bharatpur-chhindwara-gwalior-indore-jagdalpur-jabalpur-deoghar-sagar-nagaur-dhanbad-jamshedpur-sonipat-ranchi-bilaspur-raipur-3-to-8-years-230326503104,Zonal Sales Manager (B2C),Facility Management Services,Sales & Business Development,Any Graduate,,"Sales HR, management, Area sales, HR, B2B Sales, Enterprise sales, coordination, manage, Security Guidelines, Terms and Conditions",
Area Sales Manager ( B2B ),https://www.naukri.com/job-listings-area-sales-manager-b2b-triveni-almirah-rohtak-jaipur-bikaner-jodhpur-kota-udaipur-bhopal-bharatpur-chhindwara-gwalior-indore-jagdalpur-jabalpur-deoghar-sagar-nagaur-dhanbad-jamshedpur-sonipat-ranchi-bilaspur-raipur-3-to-8-years-230326503103,Zonal Sales Manager (B2C),Facility Management Services,Sales & Business Development,Any Graduate,,"Sales HR, management, Area sales, HR, B2B Sales, Enterprise sales, coordination, manage, Security Guidelines, Terms and Conditions",
Area Sales Manager ( B2B ),https://www.naukri.com/job-listings-area-sales-manager-b2b-triveni-almirah-rohtak-jaipur-bikaner-jodhpur-kota-udaipur-bhopal-bharatpur-chhindwara-gwalior-indore-jagdalpur-jabalpur-deoghar-sagar-nagaur-dhanbad-jamshedpur-sonipat-ranchi-bilaspur-raipur-3-to-8-years-230326503101,Zonal Sales Manager (B2C),Facility Management Services,Sales & Business Development,Any Graduate,,"Sales HR, management, Area sales, HR, B2B Sales, Enterprise sales, coordination, manage, Security Guidelines, Terms and Conditions",
Area Sales Manager ( B2B ),https://www.naukri.com/job-listings-area-sales-manager-b2b-triveni-almirah-rohtak-jaipur-bikaner-jodhpur-kota-udaipur-bhopal-bharatpur-chhindwara-gwalior-indore-jagdalpur-jabalpur-deoghar-sagar-nagaur-dhanbad-jamshedpur-sonipat-ranchi-bilaspur-raipur-3-to-8-years-230326503100,Zonal Sales Manager (B2C),Facility Management Services,Sales & Business Development,Any Graduate,,"Sales HR, management, Area sales, HR, B2B Sales, Enterprise sales, coordination, manage, Security Guidelines, Terms and Conditions",
Area Sales Manager ( B2B ),https://www.naukri.com/job-listings-area-sales-manager-b2b-triveni-almirah-rohtak-jaipur-bikaner-jodhpur-kota-udaipur-bhopal-bharatpur-chhindwara-gwalior-indore-jagdalpur-jabalpur-deoghar-sagar-nagaur-dhanbad-jamshedpur-sonipat-ranchi-bilaspur-raipur-3-to-8-years-230326503099,Zonal Sales Manager (B2C),Facility Management Services,Sales & Business Development,Any Graduate,,"Sales HR, management, Area sales, HR, B2B Sales, Enterprise sales, coordination, manage, Security Guidelines, Terms and Conditions",
Area Sales Manager ( B2B ),https://www.naukri.com/job-listings-area-sales-manager-b2b-triveni-almirah-rohtak-jaipur-bikaner-jodhpur-kota-udaipur-bhopal-bharatpur-chhindwara-gwalior-indore-jagdalpur-jabalpur-deoghar-sagar-nagaur-dhanbad-jamshedpur-sonipat-ranchi-bilaspur-raipur-3-to-8-years-230326503098,Zonal Sales Manager (B2C),Facility Management Services,Sales & Business Development,Any Graduate,,"Sales HR, management, Area sales, HR, B2B Sales, Enterprise sales, coordination, manage, Security Guidelines, Terms and Conditions",
Area Sales Manager ( B2B ),https://www.naukri.com/job-listings-area-sales-manager-b2b-triveni-almirah-rohtak-jaipur-bikaner-jodhpur-kota-udaipur-bhopal-bharatpur-chhindwara-gwalior-indore-jagdalpur-jabalpur-deoghar-sagar-nagaur-dhanbad-jamshedpur-sonipat-ranchi-bilaspur-raipur-3-to-8-years-230326503112,Zonal Sales Manager (B2C),Facility Management Services,Sales & Business Development,Any Graduate,,"Sales HR, management, Area sales, HR, B2B Sales, Enterprise sales, coordination, manage, Security Guidelines, Terms and Conditions",
Area Sales Manager ( B2B ),https://www.naukri.com/job-listings-area-sales-manager-b2b-triveni-almirah-rohtak-jaipur-bikaner-jodhpur-kota-udaipur-bhopal-bharatpur-chhindwara-gwalior-indore-jagdalpur-jabalpur-deoghar-sagar-nagaur-dhanbad-jamshedpur-sonipat-ranchi-bilaspur-raipur-3-to-8-years-230326503111,Zonal Sales Manager (B2C),Facility Management Services,Sales & Business Development,Any Graduate,,"Sales HR, management, Area sales, HR, B2B Sales, Enterprise sales, coordination, manage, Security Guidelines, Terms and Conditions",
Area Sales Manager ( B2B ),https://www.naukri.com/job-listings-area-sales-manager-b2b-triveni-almirah-rohtak-jaipur-bikaner-jodhpur-kota-udaipur-bhopal-bharatpur-chhindwara-gwalior-indore-jagdalpur-jabalpur-deoghar-sagar-nagaur-dhanbad-jamshedpur-sonipat-ranchi-bilaspur-raipur-3-to-8-years-230326503108,Zonal Sales Manager (B2C),Facility Management Services,Sales & Business Development,Any Graduate,,"Sales HR, management, Area sales, HR, B2B Sales, Enterprise sales, coordination, manage, Security Guidelines, Terms and Conditions",
Area Sales Manager ( B2B ),https://www.naukri.com/job-listings-area-sales-manager-b2b-triveni-almirah-rohtak-jaipur-bikaner-jodhpur-kota-udaipur-bhopal-bharatpur-chhindwara-gwalior-indore-jagdalpur-jabalpur-deoghar-sagar-nagaur-dhanbad-jamshedpur-sonipat-ranchi-bilaspur-raipur-3-to-8-years-230326503105,Zonal Sales Manager (B2C),Facility Management Services,Sales & Business Development,Any Graduate,,"Sales HR, management, Area sales, HR, B2B Sales, Enterprise sales, coordination, manage, Security Guidelines, Terms and Conditions",
Area Sales Manager ( B2B ),https://www.naukri.com/job-listings-area-sales-manager-b2b-triveni-almirah-rohtak-jaipur-bikaner-jodhpur-kota-udaipur-bhopal-bharatpur-chhindwara-gwalior-indore-jagdalpur-jabalpur-deoghar-sagar-nagaur-dhanbad-jamshedpur-sonipat-ranchi-bilaspur-raipur-3-to-8-years-230326503102,Zonal Sales Manager (B2C),Facility Management Services,Sales & Business Development,Any Graduate,,"Sales HR, management, Area sales, HR, B2B Sales, Enterprise sales, coordination, manage, Security Guidelines, Terms and Conditions",
Customer Relationship Manager,https://www.naukri.com/job-listings-customer-relationship-manager-ujjivan-small-finance-bank-chatra-garhwa-5-to-8-years-120226010302,Lending - Other,Banking,"BFSI, Investments & Trading",Any Graduate,Not Found,"Mfi, Sales, Microfinance, Group Sales, Rural Finance",Description block not found or inaccessible
Senior Manager Biomass Fuel Business Development,https://www.naukri.com/job-listings-senior-manager-biomass-fuel-business-development-nishal-enterprises-jamshedpur-mumbai-all-areas-2-to-6-years-200326019036,Business Development Manager (BDM),Agriculture / Forestry / Fishing (Agri-tech),Sales & Business Development,B.Tech/B.E. - Bachelor of Technology / Engineering in Agricultural Engineering,Not Found,"Business Development Management, Sales Management, Business Management",Description block not found or inaccessible
Walk-in || Bank office Branch Banking & Relationship Officer Branch Banking,https://www.naukri.com/job-listings-bank-office-branch-banking-relationship-officer-branch-banking-au-small-finance-bank-ranchi-0-to-5-years-230326007231,Not Found,Not Found,Not Found,Not Found,,"Liabilities, Banking Sales",Description block not found or inaccessible
Business Development Relationship Manager- Ranchi (Jharkhand),https://www.naukri.com/job-listings-business-development-relationship-manager-ranchi-jharkhand-ujjivan-small-finance-bank-ranchi-saheed-chowk-1-to-4-years-230226918456,Retail Banking Sales,Banking,Sales & Business Development,"BCA - Bachelor of Computer Applications in Any Specialization, B.Com - Bachelor of Commerce in Any Specialization, B.Tech/B.E. - Bachelor of Technology / Engineering in Any Specialization, B.A - Bachelor of Arts in Any Specialization, B.B.A/ B.M.S - Bachelor of Business Admin / Mgmt Studies in Any Specialization, B.Sc - Bachelor of Science in Any Specialization",Not Found,"Deposits, B2C Sales, Current & savings account, TPP, Life insurance, Health insurance, Retail Sales, RD, Sales, Casa, Car insurance, Field Sales, Insurance, Two-wheeler insurance, Liabilities, Branch Sales, Term insurance, Business Development, FD",Description block not found or inaccessible
