Job Title,Industry,Key Skills
Full Stack Developer,IT,"React, Node.js, MongoDB, Python"
Mechanical Engineer,Manufacturing,"AutoCAD, SolidWorks, Maintenance"
Quality Control,Manufacturing,"ISO 9001, Six Sigma, Inspection"
Data Analyst,IT,"Python, SQL, Tableau, Excel"
Frontend Developer,It,"Css, Html, Javascript, React"
Backend Developer,It,"Apis, Django, Python, Sql"
Software Engineer,It,"Data Structures, Java, Oop, Python"
Cybersecurity Analyst,It,"Ethical Hacking, Firewalls, Network Security"
Network Engineer,It,"Cisco, Networking, Routing, Switching"
Digital Marketing Executive,It,"Analytics, Sem, Seo, Social Media"
Production Engineer,Manufacturing,"Lean Manufacturing, Production Planning"
Quality Control Engineer,Manufacturing,"Inspection, Iso 9001, Six Sigma"
Cnc Machine Operator,Manufacturing,"Cnc Programming, Machine Handling"
Maintenance Engineer,Manufacturing,"Equipment Maintenance, Troubleshooting"
Welding Engineer,Manufacturing,"Fabrication, Welding Techniques"
Industrial Engineer,Manufacturing,"Operations, Process Optimization"
Plant Supervisor,Manufacturing,"Production Monitoring, Team Management"
Mining Engineer,Metals & Mining,"Mining Operations, Safety Regulations"
Geologist,Metals & Mining,"Geology, Mineral Exploration"
Mine Supervisor,Metals & Mining,"Safety Compliance, Site Management"
Drilling Engineer,Metals & Mining,"Drilling Operations, Equipment Handling"
Safety Officer,Metals & Mining,"Industrial Safety, Risk Assessment"
Heavy Equipment Operator,Metals & Mining,"Excavator, Loader Operations"
Coal Quality Analyst,Metals & Mining,"Lab Testing, Sampling"
Environmental Engineer,Metals & Mining,"Environmental Compliance, Pollution Control"
Electrical Engineer,Energy & Power,"Electrical Systems, Power Distribution"
Power Plant Operator,Energy & Power,"Thermal Power, Turbine Operation"
Solar Technician,Energy & Power,"Installation, Maintenance, Solar Panels"
Electrical Maintenance Engineer,Energy & Power,"Circuit Design, Maintenance"
Civil Engineer,Construction & Infrastructure,"Autocad, Site Management"
Site Engineer,Construction & Infrastructure,"Construction Planning, Execution"
Quantity Surveyor,Construction & Infrastructure,"Boq, Cost Estimation"
Safety Engineer,Construction & Infrastructure,"Risk Management, Safety Standards"
Doctor,Healthcare & Pharmaceuticals,"Diagnosis, Patient Care"
Nurse,Healthcare & Pharmaceuticals,"Medical Procedures, Patient Care"
Pharmacist,Healthcare & Pharmaceuticals,"Dispensing, Drug Knowledge"
Lab Technician,Healthcare & Pharmaceuticals,"Lab Testing, Sample Analysis"
Hospital Administrator,Healthcare & Pharmaceuticals,"Hospital Management, Operations"
Food Processing Technician,Agriculture & Food Processing,"Food Safety, Packaging"
Agriculture Officer,Agriculture & Food Processing,"Crop Management, Soil Analysis"
Dairy Technician,Agriculture & Food Processing,"Milk Processing, Quality Control"
Textile Designer,Textile & Handicrafts,"Design, Fabric Knowledge"
Handloom Worker,Textile & Handicrafts,"Dyeing, Weaving"
Craft Artisan,Textile & Handicrafts,"Bamboo Work, Handicrafts"
Automobile Engineer,Automobile & Engineering,"Automotive Design, Mechanics"
Service Engineer,Automobile & Engineering,"Maintenance, Troubleshooting"
Spare Parts Manager,Automobile & Engineering,Inventory Management
Sales Executive,Retail & Services,"Communication, Negotiation, Sales"
Customer Support Executive,Retail & Services,"Communication, Crm Tools"
Warehouse Executive,Retail & Services,"Inventory, Logistics"
Delivery Executive,Retail & Services,"Logistics, Route Planning"
Banking Associate,Banking & Finance,"Accounting, Customer Service"
Accountant,Banking & Finance,"Financial Reporting, Gst, Tally"
Relationship Manager,Banking & Finance,"Client Handling, Sales"
Teacher,Education & Training,"Subject Knowledge, Teaching"
Trainer,Education & Training,"Communication, Skill Development"
Content Creator,Education & Training,"Content Writing, Research"
Quality Control Inspector,Manufacturing,"Inspection, Iso 9001, Micrometer, Sampling, Six Sigma, Spc, Vernier Caliper"
Mining Engineer,Mining,"Autocad, Blasting, Dgms, Drilling, Mine Planning, Safety, Ventilation"
Civil Engineer,Construction,"Autocad, Estimation, Ms Project, Rcc, Site Management, Structural Design"
Medical Officer,Healthcare,"Clinical Diagnosis, Emergency Medicine, Mbbs, Opd, Patient Care, Prescription"
Steel Plant Operator,Steel & Metals,"Blast Furnace, Erp, Metallurgy, Quality Testing, Rolling Mill, Safety"
Sales Executive,Fmcg,"B2B Sales, Communication, Crm, Market Coverage, Negotiation, Target Achievement"
Hr Manager,Corporate,"Hrms, Labour Law, Onboarding, Payroll, Performance Management, Recruitment"
Accountant,Finance,"Accounts Payable, Audit, Balance Sheet, Gst, Ms Excel, Tally, Tds"
Electrical Engineer,Manufacturing,"Autocad Electrical, Maintenance, Panel Wiring, Plc, Relay, Scada, Switchgear"
Backend Developer,It,"Docker, Git, Java, Maven, Microservices, Mysql, Rest Api, Spring Boot"
Mining Geologist,Mining,"Arcgis, Borehole Logging, Geological Mapping, Gis, Mineralogy, Rock Mechanics"
Blast Furnace Technician,Steel & Metals,"Blast Furnace Operation, Metallurgy, Safety, Shift Work, Slag Management, Tapping"
Nurse,Healthcare,"Bls, Emr, Iv Administration, Ot Assistance, Patient Monitoring, Wound Care"
Software Tester,It,"Agile, Bug Reporting, Jira, Manual Testing, Postman, Selenium, Test Cases"
Production Supervisor,Manufacturing,"5S, Kaizen, Lean Manufacturing, Line Management, Oee, Safety, Shift Scheduling"
Financial Analyst,Finance,"Budgeting, Excel, Financial Modeling, Forecasting, Mis, Sap, Variance Analysis"
Lab Technician,Healthcare,"Blood Analysis, Elisa, Lab Safety, Lims, Microscopy, Pcr, Sample Collection"
Autocad Draftsman,Construction,"2D Drawing, 3D Modeling, Autocad, Blueprint Reading, Civil Drafting, Detailing"
Network Engineer,It,"Ccna, Cisco, Firewall, Lan/Wan, Network Monitoring, Router Configuration, Vpn"
Coal Mine Surveyor,Mining,"Dgms Compliance, Gps, Levelling, Mine Surveying, Theodolite, Total Station"
Logistics Manager,Supply Chain,"Dispatch Planning, Erp, Fleet Management, Sap, Supply Chain, Warehouse Management"
Radiologist,Healthcare,"Ct Scan, Dicom, Mri, Patient Safety, Radiology Report, Ultrasound, X-Ray"
Android Developer,It,"Android Studio, Firebase, Git, Java, Kotlin, Play Store Deployment, Rest Api"
Steel Melting Shop Operator,Steel & Metals,"Continuous Casting, Electric Arc Furnace, Ladle Refining, Metallurgy, Safety"
Bank Clerk,Banking & Finance,"Cash Handling, Core Banking, Customer Service, Data Entry, Kyc, Ms Office, Tally"
Primary School Teacher,Education,"Child Psychology, Classroom Management, English, Evs, Hindi, Lesson Planning"
Environmental Engineer,Mining,"Eia, Environmental Compliance, Gis, Pcb, Pollution Control, Waste Management"
Instrumentation Engineer,Manufacturing,"Calibration, Dcs, Field Instruments, Loop Tuning, Plc, Pressure Transmitter, Scada"
Cybersecurity Analyst,It,"Ethical Hacking, Firewalls, Penetration Testing, Siem, Soc, Vulnerability Assessment"
Pharmacist,Healthcare,"Drug Dispensing, Inventory, Patient Counselling, Pharmacology, Prescription Review"
Sap Consultant,It,"Abap, Business Analysis, Erp Implementation, S/4Hana, Sap Fico, Sap Mm, Sap Sd"
Blast Operator,Mining,"Blasting, Delay Detonators, Dgms License, Drilling, Explosives Handling, Safety"
Marketing Manager,Fmcg,"Atl, Brand Management, Btl, Campaign Planning, Digital Marketing, Market Research"
Radiographer,Healthcare,"Aerb, Darkroom Techniques, Patient Positioning, Radiation Safety, X-Ray Operation"
Plant Maintenance Engineer,Manufacturing,"Breakdown Analysis, Hydraulics, Pneumatics, Preventive Maintenance, Sap Pm, Welding"
It Support Engineer,It,"Active Directory, Hardware Troubleshooting, Help Desk, Office 365, Windows Server"
Welder,Manufacturing,"Arc Welding, Blueprint Reading, Fabrication, Mig Welding, Safety, Tig Welding"
Assistant Professor,Education,"Academic Writing, Grading, Ms Word, Research, Seminars, Syllabus Design, Teaching"
Coal Handling Plant Operator,Power & Energy,"Belt Conveyor, Coal Handling, Crusher, Dcs, Dust Suppression, Safety"
Business Development Executive,Corporate,"B2B, Client Management, Cold Calling, Crm, Lead Generation, Proposal Writing"
Pharmacovigilance Associate,Healthcare,"Adverse Event Reporting, Drug Safety, Icsr, Meddra, Regulatory Affairs, Vigibase"
Store Keeper,Supply Chain,"Erp, Grn, Inventory Management, Material Handling, Ms Excel, Sap, Stock Audit"
Data Entry Operator,Corporate,"Accuracy, Computer Skills, Data Verification, Ms Excel, Ms Office, Typing Speed"
Electrician,Construction,"Earthing, Electrical Safety, Mcb, Panel Board, Single Phase, Three Phase, Wiring"
Telecaller,Bpo & Telecom,"Communication, Crm, English, Hindi, Lead Generation, Outbound Calling, Target"
Mine Safety Officer,Mining,"Accident Investigation, Compliance, Dgms, First Aid, Safety Audit, Safety Training"
Geotechnical Engineer,Construction,"Bore Log, Foundation Design, Rock Classification, Slope Stability, Soil Testing"
Android App Tester,It,"Adb, Android, Appium, Bug Reporting, Jira, Mobile Testing, Regression Testing"
Area Sales Manager,Fmcg,"Distributor Management, Ms Excel, Route Planning, Sales Target, Team Management"
Dental Surgeon,Healthcare,"Dental Implants, Orthodontics, Radiovisiography, Root Canal, Tooth Extraction"
Ui/Ux Designer,It,"Adobe Xd, Css, Figma, Html, Prototyping, User Research, Wireframing"
Maintenance Fitter,Manufacturing,"Blueprint Reading, Drilling, Fitting, Lathe Machine, Preventive Maintenance, Safety"
Cost Accountant,Finance,"Budget Control, Cma, Cost Audit, Mis, Sap, Standard Costing, Variance Analysis"
Geophysicist,Mining,"Borehole Geophysics, Geosoft, Gravity Survey, Resistivity Survey, Seismic Survey"
Front Office Executive,Healthcare,"Billing, Communication, Customer Care, Ms Office, Patient Registration, Scheduling"
Python Developer,It,"Django, Docker, Flask, Git, Postgresql, Python, Rest Api, Unit Testing"
Iron Ore Beneficiation Operator,Mining,"Crushing, Magnetic Separation, Metallurgy, Process Control, Safety, Screening"
Bank Po,Banking & Finance,"Core Banking, English, General Awareness, Ibps, Quantitative Aptitude, Reasoning"
Structural Engineer,Construction,"Autocad, Etabs, Foundation, Is Code, Rcc Design, Staad Pro, Steel Design"
Ayush Doctor,Healthcare,"Ayurveda, Clinical Practice, Herbal Medicine, Opd, Panchakarma, Patient Care"
Field Service Engineer,Manufacturing,"Customer Support, On-Site Maintenance, Report Writing, Travel, Troubleshooting"
Power Plant Engineer,Power & Energy,"Boiler Operation, Dcs, Generator, Load Dispatching, Safety, Scada, Turbine"
Procurement Officer,Supply Chain,"Cost Saving, Negotiation, Purchase Order, Sap Mm, Tendering, Vendor Management"
Digital Marketing Executive,It,"Analytics, Content Writing, Email Marketing, Google Ads, Seo, Social Media"
Occupational Health Officer,Mining,"Ergonomics, First Aid, Health Surveillance, Ohc Management, Statutory Compliance"
Hydrologist,Mining,"Groundwater Modelling, Hydrogeological Survey, Modflow, Pump Testing, Well Logging"
Credit Analyst,Banking & Finance,"Credit Appraisal, Financial Statement Analysis, Loan Processing, Risk Assessment"
Metallurgist,Steel & Metals,"Failure Analysis, Metallurgical Testing, Microstructure Analysis, Quality Control"
Construction Site Engineer,Construction,"Autocad, Boq, Brick Work, Concrete, Quality Control, Safety, Site Supervision"
Gis Analyst,Mining,"Arcgis, Drone Survey, Gps, Map Preparation, Qgis, Remote Sensing, Spatial Analysis"
Paramedic,Healthcare,"Als, Bls, Ecg, Emergency Response, First Aid, Patient Transport, Triage"
Erp Consultant,It,"Business Process, Customization, Go-Live Support, Oracle Erp, Sap, Training"
Coal Washery Operator,Mining,"Coal Preparation, Dense Medium Cyclone, Froth Flotation, Jig, Lab Testing, Safety"
Hvac Technician,Construction,"Ahu, Air Conditioning, Chiller, Cooling Tower, Duct Fabrication, Refrigeration, Vrf"
Legal Officer,Corporate,"Compliance, Contract Drafting, Due Diligence, Labour Law, Legal Research, Litigation"
Radiation Safety Officer,Healthcare,"Aerb Compliance, Dosimetry, Radiation Monitoring, Safety Training, Waste Disposal"
Mechanical Maintenance Technician,Manufacturing,"Bearing Replacement, Conveyor, Gear Box, Pump Maintenance, Safety, Welding"
Rural Development Officer,Government,"Community Mobilization, Panchayati Raj, Report Writing, Scheme Implementation"
Accounts Payable Executive,Finance,"Gst, Invoice Processing, Ms Excel, Reconciliation, Sap Fi, Tds, Vendor Payment"
Reservoir Engineer,Mining,"Eclipse, Material Balance, Petrel, Reservoir Modelling, Well Test Analysis"
Junior Engineer (Civil),Government,"Autocad, Drainage, Estimation, Is Code, Road Construction, Site Supervision"
Lab Chemist,Steel & Metals,"Chemical Analysis, Iso, Lab Safety, Lims, Sop, Spectroscopy, Titration, Xrf"
Treasury Analyst,Banking & Finance,"Bloomberg, Cash Management, Forex, Fx Exposure, Hedging, Liquidity, Ms Excel"
Coal Mine Manager,Mining,"Dgms First Class, Mine Management, Safety, Statutory Compliance, Ventilation"
Radiotherapy Technician,Healthcare,"Dosimetry, Linear Accelerator, Patient Care, Radiation Safety, Treatment Planning"
Dermatologist,Healthcare,"Aesthetic Procedures, Dermatoscopy, Laser Treatment, Opd, Skin Disorders"
Bpo Team Leader,Bpo & Telecom,"Coaching, Escalation Handling, Mis, Quality Monitoring, Team Management"
Irrigation Engineer,Government,"Autocad, Canal Design, Estimation, Field Survey, Hydrological Survey, Is Code"
Industrial Safety Officer,Manufacturing,"Compliance, Fire Safety, Incident Investigation, Ohsas 18001, Ppe, Safety Audit"
Mechanical Design Engineer,Manufacturing,"Autocad, Bom, Catia, Dfmea, Fea, Gd&T, Product Design, Solidworks"
Revenue Inspector,Government,"Field Verification, Gps, Jamabandi, Khasra, Land Records, Mutation, Survey"
Embedded Systems Engineer,It,"Arm, C, C++, Firmware, I2C, Microcontroller, Pcb Design, Rtos, Spi, Uart"
Veterinary Officer,Government,"Ai, Animal Disease, Lab Diagnosis, Livestock Management, Opd, Vaccination"
Water Treatment Plant Operator,Government,"Chemical Dosing, Filtration, Ro Plant, Sludge Management, Water Quality Testing"
Radiology Technician,Healthcare,"Ct Scan, Dicom, Digital X-Ray, Mri, Pacs, Patient Safety, Positioning"
Social Worker,Non-Profit & Ngo,"Case Management, Community Outreach, Counselling, Field Work, Report Writing"
Hydrogeologist,Mining,"Aquifer Testing, Groundwater Survey, Hydrochemistry, Modflow, Well Design"
Credit Officer,Banking & Finance,"Cibil, Customer Service, Field Verification, Kyc, Loan Assessment, Microfinance"
Sericulture Officer,Agriculture,"Disease Management, Extension Work, Mulberry Cultivation, Silk Worm Rearing"
Quantity Surveyor,Construction,"Autocad, Boq, Measurement, Ms Excel, Procurement, Rate Analysis, Tender"
Underground Mine Operator,Mining,"Dgms, Gas Detection, Loader Operation, Roof Bolting, Safety, Underground Mining"
Physiotherapist,Healthcare,"Electrotherapy, Exercise Therapy, Musculoskeletal, Neurological Rehab, Opd"
Biodiversity Officer,Government,"Community Work, Environmental Compliance, Forest Mapping, Gis, Wildlife Survey"
Cement Plant Operator,Manufacturing,"Cement Mill, Dcs, Kiln Operation, Process Optimization, Quality Control, Safety"
Tribal Welfare Officer,Government,"Community Liaison, Field Work, Report Writing, Scheme Implementation, Tribal Policy"
Angular Developer,It,"Angular, Css, Git, Html, Jasmine, Rest Api, Rxjs, Typescript, Unit Testing"
Ventilation Engineer,Mining,"Cfd, Dgms Compliance, Fan Design, Gas Monitoring, Safety, Ventilation Survey"
Forest Guard,Government,"Field Work, Fire Prevention, Forest Patrolling, Plantation, Wildlife Protection"
Power Electronics Engineer,Manufacturing,"Control System, Converter, Drive Systems, Igbt, Inverter, Matlab, Simulink"
Mine Planning Engineer,Mining,"Deswik, Minex, Pit Optimization, Resource Estimation, Scheduling, Surpac, Vulcan"
Hospital Administrator,Healthcare,"Billing, Budget, Compliance, Hospital Operations, Mis, Nabh, Staff Management"
Rural Marketing Executive,Fmcg,"Btl Activation, Channel Development, Distribution, Rural Sales, Village Coverage"
Insurance Advisor,Banking & Finance,"Client Management, Irda, Life Insurance, Policy Sales, Premium Collection"
React Native Developer,It,"Android, Firebase, Git, Ios, Javascript, React Native, Redux, Rest Api"
Jharkhand Civil Services Officer,Government,"Economics, English, General Studies, Hindi, Jpsc, Law, Public Administration"
Agri Extension Officer,Agriculture,"Crop Management, Farmer Training, Fertigation, Kvk, Pest Control, Soil Health"
Coal Project Manager,Mining,"Budgeting, Dgms, Mining, Ms Project, Project Planning, Stakeholder Management"
Teacher (Secondary),Education,"Board Exam Prep, Cbse, Jcert, Lesson Plan, Ncf, Smart Class, Subject Knowledge"
Renewable Energy Technician,Power & Energy,"Battery, Electrical Safety, Inverter, O&M, Solar Panel Installation, Wind Energy"
Asha Worker Coordinator,Healthcare,"Asha Training, Community Health, Field Monitoring, Immunization, Mch, Mis, Nhm"
Security Supervisor,Corporate,"Access Control, Cctv Monitoring, Guard Management, Incident Reporting, Safety"
Php Developer,It,"Css, Git, Html, Javascript, Laravel, Mvc Architecture, Mysql, Php, Rest Api"
Mine Electrical Engineer,Mining,"Dgms, Flameproof Equipment, Ht/Lt Distribution, Motor Control, Plc, Safety"
Pediatrician,Healthcare,"Child Health, Growth Monitoring, Infectious Disease, Neonatology, Opd, Vaccination"
Ehs Officer,Manufacturing,"Environment Health Safety, Incident Reports, Iso 14001, Legal Compliance, Ohsas"
Accounts Manager,Finance,"Audit, Finalization, Gst, Mis, P&L Management, Sap, Tds, Team Management"
Mine Foreman,Mining,"Blasting, Dgms, Production Target, Safety, Shift Supervision, Team Management"
Occupational Therapist,Healthcare,"Adl Training, Assessment, Cognitive Therapy, Rehabilitation, Sensory Integration"
Scada Engineer,Power & Energy,"Automation, Control System, Data Acquisition, Hmi, Modbus, Plc, Rtu, Scada"
Steel Quality Engineer,Steel & Metals,"Fmea, Hardness Testing, Is Standards, Ppap, Spc, Spectrometry, Tensile Testing"
Tribal Language Teacher,Education,"Community Teaching, Ho, Jcert, Lesson Planning, Mundari, Santali, Tribal Culture"
Solar Project Engineer,Power & Energy,"Autocad, Commissioning, Grid Tie, Inverter, O&M, Pvsyst, Solar Design"
Cloud Engineer,It,"Aws, Azure, Ci/Cd, Cloud Security, Docker, Kubernetes, Linux, Terraform"
Mine Hr Executive,Mining,"Contract Labour, Dgms Records, Hrms, Labour Compliance, Payroll, Recruitment"
Physiotherapy Assistant,Healthcare,"Assisting Pt, Electrotherapy, Exercise Training, Gait Training, Hot And Cold Pack"
Block Development Officer,Government,"Administration, Gram Panchayat, Mgnrega, Rural Development, Scheme Monitoring"
Angular Full Stack Developer,It,"Angular, Docker, Express, Git, Mongodb, Node.Js, Rest Api, Typescript"
Steel Plant Electrical Engineer,Steel & Metals,"Drive Control, Hv/Mv Systems, Plc, Safety, Scada, Substation, Transformer"
Wildlife Biologist,Government,"Animal Census, Camera Trapping, Gis, Habitat Mapping, Report Writing, Research"
Nabard Development Officer,Banking & Finance,"Agricultural Credit, Field Visit, Project Appraisal, Rural Finance, Shg Linkage"
Geomatics Engineer,Mining,"Arcgis, Autocad Civil 3D, Drone Survey, Gis, Gps, Lidar, Photogrammetry"
Community Health Worker,Healthcare,"Anm, Asha, Health Education, Home Visit, Immunization, Nhm, Referral"
Java Developer,It,"Git, Hibernate, Java, Junit, Maven, Microservices, Rest Api, Spring, Sql"
Iti Fitter,Manufacturing,"Blueprint Reading, Drilling, Fitting, Grinding, Precision Tools, Safety, Turning"
Mine Rescue Team Member,Mining,"Breathing Apparatus, Dgms Trained, Emergency Response, First Aid, Mine Rescue"
Contract Labour Manager,Corporate,"Clra, Compliance, Contract Management, Contractor Billing, Esi, Labour Law, Pf"
Horticulture Officer,Agriculture,"Extension, Fruit Crops, Nursery Management, Pest Management, Vegetable Farming"
Tourism Officer,Government,"Eco-Tourism, Event Management, Guide Training, Heritage Sites, Tribal Tourism"
Fire Safety Officer,Manufacturing,"Extinguisher Training, Fire Drill, Fire Prevention, Nbc Code, Nfpa, Risk Assessment"
Dialysis Technician,Healthcare,"Av Fistula, Haemodialysis, Patient Monitoring, Peritoneal Dialysis, Water Treatment"
Land Acquisition Officer,Government,"Arbitration, Compensation, Land Records, Legal Compliance, Rehabilitation, Survey"
Senior Accountant,Finance,"Bank Reconciliation, Finalization, Gst Returns, Mis, Sap, Tally Prime, Tds"
Tribal Art Instructor,Education,"Community Workshops, Craft Training, Material Sourcing, Paitkar Art, Tribal Painting"
Mine Computer Operator,Mining,"Data Entry, Dgms Records, Erp, Mine Planning Software, Mis Report, Ms Office"
React Developer,It,"Css3, Git, Html5, Javascript, Jest, React.Js, Redux, Rest Api, Webpack"
Anesthesiologist,Healthcare,"Critical Care, General Anesthesia, Icu, Ot Management, Regional Block, Ventilator"
Power Transmission Engineer,Power & Energy,"Autocad, Load Flow, Protection Relay, Scada, Substations, Transmission Lines"
District Manager (Fmcg),Fmcg,"Coverage Plan, Distributor Management, P&L, Scheme Execution, Team Leadership"
Soil Scientist,Agriculture,"Field Survey, Gis, Icar, Nutrient Management, Soil Analysis, Soil Health Card"
Mine Ventilation Officer,Mining,"Airway Survey, Dgms, Fan Maintenance, Gas Chromatograph, Methane Monitoring"
Orthopaedic Surgeon,Healthcare,"Arthroscopy, Fracture Management, Joint Replacement, Ot, Spine Surgery, Trauma"
Embedded Iot Developer,It,"C, Cloud Iot, Esp32, Firmware, Mqtt, Python, Raspberry Pi, Sensor Integration"
Community Mobilizer,Non-Profit & Ngo,"Data Collection, Field Work, Ngo, Reporting, Shg Formation, Village Meetings"
Construction Qa/Qc Engineer,Construction,"Autocad, Concrete Testing, Inspection, Is Code, Ndt, Quality Plan, Soil Test"
Mine Accountant,Mining,"Budget, Contractor Bills, Mine Cost Accounting, Mis, Sap, Statutory Audit"
Tribal Health Worker,Healthcare,"Community Health, Field Work, Home Visit, Nhm, Referral, Tribal Medicine"
Plant Hr Officer,Manufacturing,"Bipartite Settlement, Compliance, Esi, Grievance Handling, Ir, Labour Court, Pf"
Forest Ranger,Government,"Fire Control, Forest Management, Survey, Timber Valuation, Wildlife Protection"
Digital Marketing Manager,It,"Analytics, Content Strategy, Email Marketing, Sem, Seo, Social Media, Team Lead"
Ev Technician,Automobile,"Battery Management, Can Bus, Diagnostic Tools, Electric Vehicle, Motor Control"
Jtac Officer,Government,"Administration, Civil Services, General Studies, Jpsc, Law, Public Policy"
Gis Developer,It,"Arcgis, Leaflet.Js, Postgis, Python, Qgis, Remote Sensing, Spatial Data"
Occupational Health Nurse,Mining,"Dgms, First Aid, Health Surveillance, Ohc, Pre-Employment Check, Statutory"
Sericulture Development Assistant,Agriculture,"Cocoon Purchase, Disease Control, Extension, Mulberry Supply, Rearer Training"
Customer Care Executive,Bpo & Telecom,"Crm, Email Support, English, Hindi, Inbound Calls, Kpi, Problem Solving"
Devops Engineer,It,"Ansible, Aws, Ci/Cd, Docker, Git, Jenkins, Kubernetes, Linux, Terraform"
Coal Project Coordinator,Mining,"Coordination, Documentation, Mis, Ms Excel, Project Tracking, Timeline"
Tribal Welfare Coordinator,Non-Profit & Ngo,"Community Work, Field Visit, Ngo, Reporting, Scheme Linkage, Tribal Rights"
Steel Research Engineer,Steel & Metals,"Alloy Development, Characterization, Metallurgy, Pilot Trials, Publication, R&D"
Junior Data Scientist,It,"Jupyter, Ml Models, Pandas, Python, Scikit-Learn, Sql, Statistics, Visualization"
Underground Mining Supervisor,Mining,"Development Work, Dgms, Drilling, Roof Support, Safety, Shift Report, Stoping"
Msme Loan Officer,Banking & Finance,"Business Loan, Credit Appraisal, Field Visit, Kyc, Msme Finance, Npa Recovery"
Machine Learning Engineer,It,"Feature Engineering, Mlops, Model Deployment, Nlp, Python, Pytorch, Tensorflow"
Tribal Language Interpreter,Government,"Community Interface, Field Work, Ho, Mundari, Oraon, Santali, Translation"
Mine Water Management Engineer,Mining,"Dewatering, Hydrogeology, Pumping System, Safety, Sump Design, Water Treatment"
Farmer Producer Organization Manager,Agriculture,"Agri Marketing, Finance, Fpo Management, Government Scheme, Shg, Supply Chain"
